,num,time_ordered,time_inverse,time_random
0,500,0.0012,0.000664,5.1e-05
1,1000,0.003321,0.002188,9.2e-05
2,2000,0.014116,0.00843,0.000199
3,4000,0.057298,0.039064,0.00045
4,8000,0.225189,0.154013,0.00095
5,16000,0.898482,0.605835,0.002047
6,32000,3.679738,2.439215,0.005401
7,64000,15.358393,10.184585,0.01197
8,128000,62.086924,41.690156,0.027039
9,256000,248.347696,166.760624,0.0675975
10,512000,993.390784,667.042496,0.16899375
11,1024000,3973.563136,2668.169984,0.422484375
12,2048000,15894.252544,10672.679936,1.0562109375
